date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:45	111/111	---M--	200	added ('OK')	image/png	etag:%2241837a-6f-4d4fd8d57d280%22	http://mepro.in/images/ie6/borderTopCenter.png	C:/Users/dell/Desktop/micro/mepro.in/images/ie6/borderTopCenter.png	(from http://mepro.in/style.css)
13:05:45	214/214	---M--	200	added ('OK')	image/png	etag:%224186de-d6-4d4fd8d57d280%22	http://mepro.in/images/ie6/borderTopRight.png	C:/Users/dell/Desktop/micro/mepro.in/images/ie6/borderTopRight.png	(from http://mepro.in/style.css)
13:05:45	215/215	---M--	200	added ('OK')	image/png	etag:%2241836d-d7-4d4fd8d489040%22	http://mepro.in/images/ie6/borderBottomLeft.png	C:/Users/dell/Desktop/micro/mepro.in/images/ie6/borderBottomLeft.png	(from http://mepro.in/style.css)
13:05:45	9427/9427	---M--	200	added ('OK')	image/gif	etag:%223147f8-24d3-4d4fd8d0b8740%22	http://mepro.in/images/loading.gif	C:/Users/dell/Desktop/micro/mepro.in/images/loading.gif	(from http://mepro.in/style.css)
13:05:45	111/111	---M--	200	added ('OK')	image/png	etag:%224182f8-6f-4d4fd8d489040%22	http://mepro.in/images/ie6/borderBottomCenter.png	C:/Users/dell/Desktop/micro/mepro.in/images/ie6/borderBottomCenter.png	(from http://mepro.in/style.css)
13:05:46	217/217	---M--	200	added ('OK')	image/png	etag:%2241836e-d9-4d4fd8d489040%22	http://mepro.in/images/ie6/borderBottomRight.png	C:/Users/dell/Desktop/micro/mepro.in/images/ie6/borderBottomRight.png	(from http://mepro.in/style.css)
13:05:46	108/108	---M--	200	added ('OK')	image/png	etag:%2241836f-6c-4d4fd8d489040%22	http://mepro.in/images/ie6/borderMiddleLeft.png	C:/Users/dell/Desktop/micro/mepro.in/images/ie6/borderMiddleLeft.png	(from http://mepro.in/style.css)
13:05:46	39493/39493	---M--	200	added ('OK')	image/jpeg	etag:%224a6bde-9a45-4d509dabbb800%22	http://mepro.in/images/quality-bg.jpg	C:/Users/dell/Desktop/micro/mepro.in/images/quality-bg.jpg	(from http://mepro.in/style.css)
13:05:46	108/108	---M--	200	added ('OK')	image/png	etag:%22418379-6c-4d4fd8d57d280%22	http://mepro.in/images/ie6/borderMiddleRight.png	C:/Users/dell/Desktop/micro/mepro.in/images/ie6/borderMiddleRight.png	(from http://mepro.in/style.css)
13:05:47	72082/72082	---M--	200	added ('OK')	image/jpeg	etag:%223147e8-11992-4d4fd8cfc4500%22	http://mepro.in/images/gallery-bg.jpg	C:/Users/dell/Desktop/micro/mepro.in/images/gallery-bg.jpg	(from http://mepro.in/style.css)
